DATE,Àü±¹
1975-01-01,65.6731
1975-04-01,65.8643
1975-07-01,66.0577
1975-10-01,66.3462
1976-01-01,66.6346
1976-04-01,67.2116
1976-07-01,67.7885
1976-10-01,68.5096
1977-01-01,69.2308
1977-04-01,69.9958
1977-07-01,70.7693
1977-10-01,71.6346
1978-01-01,72.5
1978-04-01,73.6953
1978-07-01,74.9039
1978-10-01,76.4423
1979-01-01,77.9808
1979-04-01,80.1801
1979-07-01,82.4039
1979-10-01,85.1443
1980-01-01,87.8847
1980-04-01,90.7693
1980-07-01,93.6539
1980-10-01,96.1539
1981-01-01,98.6539
1981-04-01,100.9966
1981-07-01,103.3654
1981-10-01,105.4808
1982-01-01,107.5962
1982-04-01,109.3174
1982-07-01,111.0577
1982-10-01,112.452
1983-01-01,113.8462
1983-04-01,114.9459
1983-07-01,116.0577
1983-10-01,117.0193
1984-01-01,117.9808
1984-04-01,118.7981
1984-07-01,119.6154
1984-10-01,120.4327
1985-01-01,121.25
1985-04-01,121.8716
1985-07-01,122.5
1985-10-01,123.1731
1986-01-01,123.8462
1986-04-01,124.7068
1986-07-01,125.577
1986-10-01,127.5001
1987-01-01,129.4231
1987-04-01,133.3915
1987-07-01,137.4039
1987-10-01,138.7981
1988-01-01,140.1924
1988-04-01,141.6347
1988-07-01,143.077
1988-10-01,145.4328
1989-01-01,147.7885
1989-04-01,151.2787
1989-07-01,154.8078
1989-10-01,160.7693
1990-01-01,166.7308
1990-04-01,172.516
1990-07-01,178.3655
1990-10-01,180.577
1991-01-01,182.7885
1991-04-01,182.5495
1991-07-01,182.3078
1991-10-01,180.2885
1992-01-01,178.2693
1992-04-01,176.0578
1992-07-01,173.8462
1992-10-01,171.6347
1993-01-01,169.4231
1993-04-01,167.9888
1993-07-01,166.5385
1993-10-01,165.4808
1994-01-01,164.4231
1994-04-01,163.7538
1994-07-01,163.077
1994-10-01,162.5001
1995-01-01,161.9231
1995-04-01,161.3016
1995-07-01,160.6731
1995-10-01,159.8558
1996-01-01,159.0385
1996-04-01,158.3174
1996-07-01,157.5962
1996-10-01,157.1154
1997-01-01,156.6347
1997-04-01,156.2044
1997-07-01,155.7693
1997-10-01,155.1924
1998-01-01,154.6154
1998-04-01,153.8505
1998-07-01,153.077
1998-10-01,151.7789
1999-01-01,150.4808
1999-04-01,149.2377
1999-07-01,147.9808
1999-10-01,146.5385
2000-01-01,145.0962
2000-04-01,143.6539
2000-07-01,142.2116
2000-10-01,140.6731
2001-01-01,139.1347
2001-04-01,137.5091
2001-07-01,135.8654
2001-10-01,134.0385
2002-01-01,132.2116
2002-04-01,130.3948
2002-07-01,128.5577
2002-10-01,126.4904
2003-01-01,124.4231
2003-04-01,122.3672
2003-07-01,120.2885
2003-10-01,118.3654
2004-01-01,116.4424
2004-04-01,114.7116
2004-07-01,112.9808
2004-10-01,111.5866
2005-01-01,110.1924
2005-04-01,108.9493
2005-07-01,107.6924
2005-10-01,106.827
2006-01-01,105.9616
2006-04-01,105.3878
2006-07-01,104.8077
2006-10-01,104.5674
2007-01-01,104.327
2007-04-01,104.1835
2007-07-01,104.0385
2007-10-01,103.7981
2008-01-01,103.5577
2008-04-01,102.8847
2008-07-01,102.2116
2008-10-01,101.1539
2009-01-01,99.2083
2009-04-01,97.7081
2009-07-01,99.1416
2009-10-01,98.2749
2010-01-01,99.6083
2010-04-01,99.775
2010-07-01,100.375
2010-10-01,100.2417
2011-01-01,100.4417
2011-04-01,99.975
2011-07-01,100.6084
2011-10-01,99.2416
2012-01-01,99.9417
2012-04-01,98.8749
2012-07-01,99.1416
2012-10-01,98.8082
2013-01-01,99.475
2013-04-01,100.575
2013-07-01,101.6085
2013-10-01,101.5751
2014-01-01,102.5419
2014-04-01,102.0752
2014-07-01,102.7086
2014-10-01,102.1752
2015-01-01,104.9754
2015-04-01,104.6421
2015-07-01,105.6421
2015-10-01,104.1753
2016-01-01,106.6756
2016-04-01,107.7423
2016-07-01,107.509
2016-10-01,106.8089
2017-01-01,110.8426
2017-04-01,109.9092
2017-07-01,110.1425
2017-10-01,108.7424
2018-01-01,112.5427
2018-04-01,112.0093
2018-07-01,112.1093
2018-10-01,111.476
2019-01-01,115.1429
2019-04-01,114.1762
2019-07-01,113.5095
2019-10-01,112.5427
2020-01-01,114.6429
2020-04-01,113.3761
2020-07-01,113.4428
